,States,X,Y
0,Alba,-119.0,15.0
1,Arad,-267.0,49.0
2,Arges,-13.0,-105.0
3,Bacau,141.0,55.0
4,Bihor,-236.0,122.0
5,Bistrita-Nasaud,-43.0,142.0
6,Botosani,139.0,230.0
7,Braila,227.0,-93.0
8,Brasov,19.0,-19.0
9,Bucuresti,92.0,-160.0
10,Buzau,145.0,-76.0
11,Caras-Severin,-250.0,-94.0
12,Calarasi,169.0,-188.0
13,Cluj,-105.0,97.0
14,Constanta,290.0,-185.0
15,Covasna,79.0,1.0
16,D̢mbovita,38.0,-122.0
17,Dolj,-115.0,-201.0
18,Galati,232.0,-13.0
19,Giurgiu,80.0,-207.0
20,Gorj,-140.0,-115.0
21,Harghita,45.0,76.0
22,Hunedoara,-163.0,-21.0
23,Ialomita,185.0,-146.0
24,Iasi,195.0,144.0
25,Ilfov,97.0,-145.0
26,Maramures,-88.0,212.0
27,Mehedinti,-177.0,-151.0
28,Mures,-26.0,71.0
29,Neamt,107.0,116.0
30,Olt,-43.0,-185.0
31,Prahova,83.0,-92.0
32,Salaj,-153.0,146.0
33,Satu Mare,-176.0,209.0
34,Sibiu,-64.0,-5.0
35,Suceava,60.0,188.0
36,Teleorman,27.0,-219.0
37,Timis,-302.0,-18.0
38,Tulcea,315.0,-88.0
39,Valcea,-70.0,-86.0
40,Vaslui,231.0,68.0
41,Vrancea,163.0,-19.0
